id_paciente,nombre,rut,Edad,fecha_registro,id_medico,FamiliarPrimerGradoCC,FamiliarSegundoGradoCC,DiagnosticoPrevioCancer,Ejercicio,Alcohol,Mamografia,Menstruacion,PrimerHijo,riesgo,Edad_Original,Puntaje,Riesgo
1,Michelle,817097948,3.0,9/10/2025,1,0.0,1,1,1.0,0,1,,0,Bajo,91.0,60,2
3,Consuelo,637151220,1.0,9/10/2025,1,1.0,0,0,0.0,1,0,,1,Bajo,43.0,48,1
4,Marjory,790245753,3.0,9/10/2025,1,1.0,1,1,1.0,1,1,,2,Bajo,99.0,95,2
5,Joycelin,620959095,1.0,9/10/2025,1,0.0,0,1,3.0,3,0,,1,Bajo,43.0,49,1
8,Christabella,155534787,3.0,9/10/2025,1,1.0,0,0,1.0,2,0,,1,Bajo,97.0,64,2
14,Kitty,232253101,2.0,9/10/2025,1,1.0,1,0,0.0,2,1,,1,Alto,52.0,59,2
27,Sandra,933872300,0.0,9/10/2025,1,0.0,1,1,0.0,3,1,,0,Bajo,30.0,50,2
32,Fanny,285263453,3.0,9/10/2025,1,0.0,1,1,1.0,2,1,,2,Moderado,72.0,73,2
43,Latia,532469280,3.0,9/10/2025,1,,1,0,0.0,3,0,,1,Alto,80.0,48,1
44,Melisent,537649239,2.0,9/10/2025,1,0.0,0,1,,3,0,,2,Alto,59.0,69,2
47,Kristi,102428359,2.0,9/10/2025,1,0.0,0,0,1.0,2,0,,1,Bajo,54.0,31,1
48,Nanni,296359993,3.0,9/10/2025,1,1.0,0,0,1.0,1,1,,1,Moderado,90.0,58,2
50,Aviva,954258089,3.0,9/10/2025,1,0.0,1,0,,1,1,,1,Alto,98.0,39,1
51,Ginnie,117246945,0.0,9/10/2025,1,1.0,1,1,3.0,1,1,,2,Moderado,36.0,67,2
52,Jeanine,899668036,3.0,9/10/2025,1,0.0,1,1,0.0,0,1,,0,Bajo,91.0,62,2
55,Tobye,159158455,0.0,9/10/2025,1,1.0,1,0,0.0,1,1,,2,Alto,31.0,47,1
61,Elna,222517279,3.0,9/10/2025,1,1.0,0,1,1.0,1,1,,1,Alto,97.0,88,2
62,Zelda,179522670,0.0,9/10/2025,1,1.0,1,0,1.0,0,1,,2,Bajo,25.0,43,1
67,Katinka,590060838,0.0,9/10/2025,1,1.0,0,1,3.0,1,0,,2,Bajo,30.0,66,2
68,Jillane,832808530,3.0,9/10/2025,1,1.0,0,0,,3,0,,2,Alto,87.0,72,2
70,Gwenni,989656735,0.0,9/10/2025,1,1.0,0,1,2.0,3,1,,0,Alto,18.0,64,2
71,Dena,378532103,3.0,9/10/2025,1,0.0,0,0,2.0,1,1,,2,Alto,72.0,31,1
73,Cissy,734502799,3.0,9/10/2025,1,0.0,0,1,0.0,2,0,,2,Moderado,70.0,74,2
79,Susanetta,517500359,3.0,9/10/2025,1,0.0,1,0,1.0,1,1,,2,Alto,96.0,40,1
82,Sukey,688921030,3.0,9/10/2025,1,,0,0,1.0,3,0,,2,Moderado,99.0,45,1
90,Tisha,671635754,3.0,9/10/2025,1,0.0,0,1,2.0,2,1,,2,Moderado,88.0,64,2
91,Roseann,378569999,3.0,9/10/2025,1,1.0,0,1,1.0,2,0,,0,Alto,87.0,89,2
92,Sibelle,241032899,3.0,9/10/2025,1,1.0,0,0,2.0,2,0,,2,Bajo,86.0,62,2
93,Desdemona,365352560,2.0,9/10/2025,1,0.0,1,0,2.0,0,0,,1,Bajo,53.0,25,1
102,Jen,753248644,0.0,9/10/2025,1,1.0,0,0,0.0,0,0,,1,Alto,25.0,41,1
106,Sibel,164433347,0.0,9/10/2025,1,1.0,0,1,,3,0,,2,Bajo,18.0,82,2
108,Karrie,290262256,3.0,9/10/2025,1,1.0,0,0,0.0,2,0,,1,Alto,84.0,66,2
111,Hannah,723492483,3.0,9/10/2025,1,0.0,1,1,1.0,1,1,,1,Moderado,77.0,67,2
113,Cate,448516417,0.0,9/10/2025,1,1.0,1,1,,2,1,,0,Alto,33.0,72,2
117,Renae,455561184,0.0,9/10/2025,1,0.0,0,1,2.0,1,1,,1,Alto,32.0,38,1
118,Ingaborg,908289181,3.0,9/10/2025,1,1.0,1,0,1.0,1,0,,1,Moderado,70.0,65,2
120,Iona,337086149,0.0,9/10/2025,1,0.0,1,1,0.0,0,0,,0,Alto,35.0,45,1
123,Eve,191173975,1.0,9/10/2025,1,0.0,1,1,2.0,1,1,,0,Bajo,40.0,42,1
127,Julietta,430481937,3.0,9/10/2025,1,0.0,1,1,2.0,2,1,,2,Moderado,89.0,68,2
131,Inge,921273263,0.0,9/10/2025,1,1.0,0,0,0.0,1,0,,0,Alto,20.0,38,1
