id_paciente,nombre,rut,edad,sexo,fecha_registro,id_medico,FamiliarPrimerGradoCC,FamiliarSegundoGradoCC,DiagnosticoPrevioCancer,Ejercicio,Alcohol,Mamografia,Menstruacion,PrimerHijo,Riesgo
8080,Itch,113606769,87,M,9/10/2025,1,true,false,true,Ninguna,Ocasional,false,No hijos,Primer hijo <30,Bajo
8156,Astrid,239076470,97,F,9/10/2025,1,false,true,false,Ninguna,Diario,true,Primer hijo >=30,Primer hijo <30,Alto
8677,Miriam,943808826,145,F,9/10/2025,1,false,true,false,>4 horas,Frecuente,true,Primer hijo <30,Primer hijo >=30,Bajo
8708,Kimberlyn,790820533,53,F,9/10/2025,1,true,false,true,>4 horas,Diario,true,Primer hijo <30,Primer hijo >=30,Bajo
8061,Shelba,802846105,9,F,9/10/2025,1,false,true,true,3-4 horas,Diario,false,Primer hijo <30,No hijos,Moderado
8883,Sam,548019786,89,M,9/10/2025,1,false,false,false,Ninguna,Frecuente,true,Primer hijo >=30,Primer hijo >=30,Bajo
8915,Frederich,651031311,20,M,9/10/2025,1,false,false,true,Ninguna,Ocasional,false,No hijos,Primer hijo >=30,Bajo
8345,Alana,771684492,123,F,9/10/2025,1,true,false,true,<3 horas,Ocasional,false,,Primer hijo >=30,Bajo
8961,Law,336947706,68,M,9/10/2025,1,false,false,true,3-4 horas,Frecuente,true,,Primer hijo >=30,Moderado
8323,Dal,866268295,104,M,9/10/2025,1,true,true,true,>4 horas,Ocasional,true,Primer hijo <30,Primer hijo >=30,Alto
8505,Gerry,116333142,15,F,9/10/2025,1,false,true,true,Ninguna,Frecuente,true,No hijos,Primer hijo <30,Alto
8558,Joelynn,643563556,107,F,9/10/2025,1,false,false,false,<3 horas,Ocasional,false,Primer hijo <30,Primer hijo <30,Moderado
8154,Miner,963977978,76,M,9/10/2025,1,true,false,true,Ninguna,Frecuente,false,No hijos,Primer hijo <30,Alto
8258,Kin,754483303,,M,9/10/2025,1,false,true,false,<3 horas,Diario,true,Primer hijo >=30,No hijos,Bajo
8741,Palm,988814186,30,M,9/10/2025,1,true,false,false,3-4 horas,Diario,false,Primer hijo >=30,Primer hijo <30,Alto
8606,Belicia,616222005,50,F,9/10/2025,1,true,false,false,<3 horas,Diario,false,Primer hijo >=30,Primer hijo >=30,Moderado
8220,Tabitha,169206731,28,F,9/10/2025,1,false,true,true,>4 horas,Frecuente,false,Primer hijo >=30,Primer hijo <30,Bajo
8862,Orion,876221667,,M,9/10/2025,1,true,true,true,3-4 horas,Nunca,true,Primer hijo <30,Primer hijo <30,Moderado
8252,Gwendolen,403661394,60,F,9/10/2025,1,false,true,true,Ninguna,Frecuente,false,No hijos,Primer hijo >=30,Moderado
8729,Calli,859476976,77,F,9/10/2025,1,false,true,false,Ninguna,Nunca,true,Primer hijo <30,Primer hijo <30,Bajo
8656,Adolph,546351243,,M,9/10/2025,1,false,true,false,>4 horas,Nunca,false,Primer hijo <30,Primer hijo <30,Alto
8958,Natal,798131743,130,M,9/10/2025,1,true,false,false,<3 horas,Frecuente,false,Primer hijo <30,No hijos,Moderado
8105,Rafaelia,812486303,76,F,9/10/2025,1,false,true,true,Ninguna,Ocasional,true,Primer hijo >=30,No hijos,Moderado
8700,Lorna,177756966,62,F,9/10/2025,1,false,true,true,>4 horas,Diario,true,No hijos,Primer hijo >=30,Moderado
8506,Antoinette,380149266,113,F,9/10/2025,1,false,true,true,<3 horas,Frecuente,true,Primer hijo >=30,No hijos,Moderado
8900,Silvester,242652712,114,M,9/10/2025,1,true,false,true,3-4 horas,Frecuente,false,Primer hijo <30,Primer hijo <30,Bajo
8772,Jacquelyn,507188603,147,F,9/10/2025,1,false,true,false,>4 horas,Ocasional,true,No hijos,Primer hijo >=30,Moderado
8295,Kylen,743470662,15,F,9/10/2025,1,true,false,true,<3 horas,Ocasional,true,No hijos,Primer hijo <30,Bajo
8427,Fernande,435742309,1,F,9/10/2025,1,true,true,true,Ninguna,Diario,false,Primer hijo <30,No hijos,Bajo
8006,Lindy,482592839,81,M,9/10/2025,1,true,false,false,<3 horas,Diario,false,Primer hijo >=30,No hijos,Alto
8089,Ethelred,973633388,124,M,9/10/2025,1,true,true,false,>4 horas,Nunca,false,Primer hijo <30,Primer hijo <30,Bajo
8753,Zane,866910610,97,M,9/10/2025,1,false,true,false,>4 horas,Frecuente,true,No hijos,Primer hijo <30,Moderado
8982,Ramon,388670414,45,M,9/10/2025,1,false,false,true,>4 horas,Nunca,true,Primer hijo <30,Primer hijo >=30,Alto
8664,Francoise,372889648,27,F,9/10/2025,1,true,true,false,Ninguna,Frecuente,false,Primer hijo <30,No hijos,Alto
8169,Marylin,504005826,127,F,9/10/2025,1,,true,false,>4 horas,Frecuente,true,Primer hijo >=30,Primer hijo >=30,Moderado
8433,Tuck,164219771,81,M,9/10/2025,1,true,false,false,<3 horas,Frecuente,false,No hijos,No hijos,Alto
8774,Mommy,759376582,,F,9/10/2025,1,false,false,false,,Ocasional,false,Primer hijo <30,No hijos,Alto
8397,Vilma,638422311,28,F,9/10/2025,1,true,true,false,3-4 horas,Diario,false,Primer hijo <30,No hijos,Moderado
8201,Domeniga,946579947,93,F,9/10/2025,1,false,false,false,3-4 horas,Nunca,true,No hijos,Primer hijo >=30,Bajo
8772,Maryjo,452814011,72,F,9/10/2025,1,true,false,true,<3 horas,Frecuente,false,Primer hijo >=30,Primer hijo <30,Alto
